LocationID,FeatureID
CUVAWetlnd1,1427
CUVAWetlnd10,885
CUVAWetlnd100,306
CUVAWetlnd101,307
CUVAWetlnd102,309
CUVAWetlnd103,310
CUVAWetlnd104,311
CUVAWetlnd105,317
CUVAWetlnd106,1620
CUVAWetlnd107,1007
CUVAWetlnd108,1017
CUVAWetlnd109,1034
CUVAWetlnd11,697
CUVAWetlnd110,1036
CUVAWetlnd111,1058
CUVAWetlnd112,1485
CUVAWetlnd113,623
CUVAWetlnd114,627
CUVAWetlnd115,669
CUVAWetlnd116,676
CUVAWetlnd117,867
CUVAWetlnd118,1188
CUVAWetlnd119,1196
CUVAWetlnd12,692
CUVAWetlnd120,343
CUVAWetlnd121,351
CUVAWetlnd122,363
CUVAWetlnd123,970
CUVAWetlnd124,1079RS2
CUVAWetlnd125,1351
CUVAWetlnd126,1364
CUVAWetlnd127,241K (VK3)
CUVAWetlnd128,241VK4
CUVAWetlnd129,242VK1
CUVAWetlnd13,192
CUVAWetlnd130,242VK2
CUVAWetlnd131,365BM2
CUVAWetlnd132,365BM3
CUVAWetlnd133,365BM4
CUVAWetlnd134,365BM5
CUVAWetlnd135,365BM6
CUVAWetlnd136,526
CUVAWetlnd137,526SB1
CUVAWetlnd138,526SB2
CUVAWetlnd139,526SB3
CUVAWetlnd14,30
CUVAWetlnd140,968PV968
CUVAWetlnd141,969
CUVAWetlnd142,970PV
CUVAWetlnd143,1043
CUVAWetlnd144,1047
CUVAWetlnd145,1049
CUVAWetlnd146,977FP1
CUVAWetlnd147,977FP2
CUVAWetlnd148,977FP3
CUVAWetlnd149,977FP4
CUVAWetlnd15,927
CUVAWetlnd150,977FP5
CUVAWetlnd151,1079RS2
CUVAWetlnd152,124
CUVAWetlnd153,398
CUVAWetlnd154,554
CUVAWetlnd155,683
CUVAWetlnd156,970
CUVAWetlnd157,1427
CUVAWetlnd158,365
CUVAWetlnd159,241
CUVAWetlnd16,947
CUVAWetlnd160,242
CUVAWetlnd161,240
CUVAWetlnd162,1338
CUVAWetlnd163,526
CUVAWetlnd164,1049
CUVAWetlnd165,1043
CUVAWetlnd166,1041
CUVAWetlnd167,969
CUVAWetlnd168,1047
CUVAWetlnd169,968PV968
CUVAWetlnd17,950
CUVAWetlnd170,977
CUVAWetlnd171,1337
CUVAWetlnd172,28
CUVAWetlnd173,29
CUVAWetlnd174,30
CUVAWetlnd175,32
CUVAWetlnd176,39
CUVAWetlnd177,43
CUVAWetlnd178,56
CUVAWetlnd179,192
CUVAwetlnd18,951
CUVAWetlnd180,305
CUVAWetlnd181,306
CUVAWetlnd182,307
CUVAWetlnd183,309
CUVAWetlnd184,310
CUVAWetlnd185,311
CUVAWetlnd186,317
CUVAWetlnd187,343
CUVAWetlnd188,351
CUVAWetlnd189,363
CUVAwetlnd19,953
CUVAWetlnd190,413
CUVAWetlnd191,416
CUVAWetlnd192,422
CUVAWetlnd193,623
CUVAWetlnd194,627
CUVAWetlnd195,669
CUVAWetlnd196,676
CUVAWetlnd197,692
CUVAWetlnd198,697
CUVAWetlnd199,743
CUVAWetlnd2,683
CUVAwetlnd20,957
CUVAWetlnd200,748
CUVAWetlnd201,867
CUVAWetlnd202,885
CUVAWetlnd203,887
CUVAWetlnd204,889
CUVAWetlnd205,927
CUVAWetlnd206,939
CUVAWetlnd207,941
CUVAWetlnd208,947
CUVAWetlnd209,950
CUVAWetlnd21,1468
CUVAWetlnd210,951
CUVAWetlnd211,953
CUVAWetlnd212,957
CUVAWetlnd213,1485
CUVAWetlnd214,1007
CUVAWetlnd215,1017
CUVAWetlnd216,1034
CUVAWetlnd217,1036
CUVAWetlnd218,1058
CUVAWetlnd219,1068
CUVAWetlnd22,927
CUVAWetlnd220,1069
CUVAWetlnd221,1070
CUVAWetlnd222,1620
CUVAWetlnd223,1188
CUVAWetlnd224,1196
CUVAWetlnd225,1205
CUVAWetlnd226,1221
CUVAWetlnd227,1351
CUVAWetlnd228,1364
CUVAWetlnd229,1468
CUVAWetlnd23,947
CUVAWetlnd230,307
CUVAWetlnd231,305
CUVAWetlnd232,306
CUVAWetlnd233,309
CUVAWetlnd234,311
CUVAWetlnd235,310
CUVAWetlnd236,317
CUVAWetlnd237,1468
CUVAWetlnd238,957
CUVAWetlnd239,947
CUVAWetlnd24,950
CUVAWetlnd240,953
CUVAWetlnd241,941
CUVAWetlnd242,939
CUVAWetlnd243,927
CUVAWetlnd244,416
CUVAWetlnd245,1058
CUVAWetlnd246,413
CUVAWetlnd247,363
CUVAWetlnd248,343
CUVAWetlnd249,970PV
CUVAWetlnd25,951
CUVAWetlnd250,1079RS2
CUVAWetlnd251,1364
CUVAWetlnd252,1351
CUVAWetlnd253,748
CUVAWetlnd254,39
CUVAWetlnd255,56
CUVAWetlnd256,1205
CUVAWetlnd257,43
CUVAWetlnd258,676
CUVAWetlnd259,1196
CUVAWetlnd26,953
CUVAWetlnd260,1188
CUVAWetlnd261,669
CUVAWetlnd262,867
CUVAWetlnd263,192
CUVAWetlnd264,692
CUVAWetlnd265,627
CUVAWetlnd266,623
CUVAWetlnd267,889
CUVAWetlnd268,887
CUVAWetlnd269,1221
CUVAWetlnd27,957
CUVAWetlnd270,697
CUVAWetlnd271,1034
CUVAWetlnd272,1017
CUVAWetlnd273,1007
CUVAWetlnd274,1036
CUVAWetlnd275,1068
CUVAWetlnd276,1069
CUVAWetlnd277,1070
CUVAWetlnd278,28
CUVAWetlnd279,32
CUVAWetlnd28,1468
CUVAWetlnd280,29
CUVAWetlnd281,30
CUVAWetlnd282,950
CUVAWetlnd283,951
CUVAWetlnd284,1485
CUVAWetlnd285,422
CUVAWetlnd286,743
CUVAWetlnd287,885
CUVAWetlnd288,1620
CUVAWetlnd289,351
CUVAWetlnd29,1068
CUVAWetlnd290,1622KR
CUVAWetlnd291,1627KR
CUVAWetlnd292,540SF2
CUVAWetlnd293,540SF1
CUVAWetlnd294,540SF3
CUVAWetlnd295,540SF4
CUVAWetlnd296,003
CUVAWetlnd297,009
CUVAWetlnd298,033
CUVAWetlnd299,040
CUVAWetlnd3,554
CUVAWetlnd30,1069
CUVAWetlnd300,041
CUVAWetlnd301,042
CUVAWetlnd302,059
CUVAWetlnd303,061
CUVAWetlnd304,067
CUVAWetlnd305,069
CUVAWetlnd306,073
CUVAWetlnd307,089
CUVAWetlnd308,097
CUVAWetlnd309,103
CUVAWetlnd31,1070
CUVAWetlnd310,110
CUVAWetlnd311,111
CUVAWetlnd312,123
CUVAWetlnd313,133
CUVAWetlnd314,135
CUVAWetlnd315,139
CUVAWetlnd316,140
CUVAWetlnd317,144
CUVAWetlnd318,147
CUVAWetlnd319,148
CUVAWetlnd32,413
CUVAWetlnd320,149
CUVAWetlnd321,167
CUVAWetlnd322,169
CUVAWetlnd323,176
CUVAWetlnd324,177
CUVAWetlnd325,185
CUVAWetlnd326,189
CUVAWetlnd327,194
CUVAWetlnd328,205
CUVAWetlnd329,206
CUVAWetlnd33,416
CUVAWetlnd330,214
CUVAWetlnd331,220
CUVAWetlnd332,226
CUVAWetlnd333,241
CUVAWetlnd334,242
CUVAWetlnd335,246
CUVAWetlnd336,247
CUVAWetlnd337,250
CUVAWetlnd338,266
CUVAWetlnd339,274
CUVAWetlnd34,422
CUVAWetlnd340,277
CUVAWetlnd341,279
CUVAWetlnd342,282
CUVAWetlnd343,287
CUVAWetlnd344,288
CUVAWetlnd345,304
CUVAWetlnd346,322
CUVAWetlnd347,326
CUVAWetlnd348,327
CUVAWetlnd349,329
CUVAWetlnd35,743
CUVAWetlnd350,333
CUVAWetlnd351,339
CUVAWetlnd352,341
CUVAWetlnd353,349
CUVAWetlnd354,354
CUVAWetlnd355,356
CUVAWetlnd356,372
CUVAWetlnd357,377
CUVAWetlnd358,384
CUVAWetlnd359,306
CUVAWetlnd36,748
CUVAWetlnd360,387
CUVAWetlnd361,390
CUVAWetlnd362,391
CUVAWetlnd363,393
CUVAWetlnd364,398
CUVAWetlnd365,400
CUVAWetlnd366,401
CUVAWetlnd367,408
CUVAWetlnd368,412
CUVAWetlnd369,414
CUVAWetlnd37,939
CUVAWetlnd370,419
CUVAWetlnd371,420
CUVAWetlnd372,425
CUVAWetlnd373,427
CUVAWetlnd374,432
CUVAWetlnd375,444
CUVAWetlnd376,445
CUVAWetlnd377,450
CUVAWetlnd378,451
CUVAWetlnd379,458
CUVAWetlnd38,941
CUVAWetlnd380,462
CUVAWetlnd381,467
CUVAWetlnd382,477
CUVAWetlnd383,478
CUVAWetlnd384,487
CUVAWetlnd385,489
CUVAWetlnd386,502
CUVAWetlnd387,505
CUVAWetlnd388,537
CUVAWetlnd389,538
CUVAWetlnd39,305
CUVAWetlnd390,546
CUVAWetlnd391,552
CUVAWetlnd392,556
CUVAWetlnd393,567
CUVAWetlnd394,568
CUVAWetlnd395,569
CUVAWetlnd396,571
CUVAWetlnd397,580
CUVAWetlnd398,588
CUVAWetlnd399,600
CUVAWetlnd4,398
CUVAWetlnd40,306
CUVAWetlnd400,605
CUVAWetlnd401,617
CUVAWetlnd402,618
CUVAWetlnd403,619
CUVAWetlnd404,620
CUVAWetlnd405,621
CUVAWetlnd406,628
CUVAWetlnd407,635
CUVAWetlnd408,674
CUVAWetlnd409,682
CUVAWetlnd41,307
CUVAWetlnd410,686
CUVAWetlnd411,691
CUVAWetlnd412,710
CUVAWetlnd413,712
CUVAWetlnd414,722
CUVAWetlnd415,728
CUVAWetlnd416,732
CUVAWetlnd417,744
CUVAWetlnd418,747
CUVAWetlnd419,753
CUVAWetlnd42,309
CUVAWetlnd420,754
CUVAWetlnd421,766
CUVAWetlnd422,778
CUVAWetlnd423,787
CUVAWetlnd424,790
CUVAWetlnd425,793
CUVAWetlnd426,807
CUVAWetlnd427,813
CUVAWetlnd428,822
CUVAWetlnd429,823
CUVAWetlnd43,310
CUVAWetlnd430,833
CUVAWetlnd431,836
CUVAWetlnd432,841
CUVAWetlnd433,843
CUVAWetlnd434,844
CUVAWetlnd435,846
CUVAWetlnd436,848
CUVAWetlnd437,853
CUVAWetlnd438,854
CUVAWetlnd439,862
CUVAWetlnd44,311
CUVAWetlnd440,866
CUVAWetlnd441,870
CUVAWetlnd442,875
CUVAWetlnd443,898
CUVAWetlnd444,907
CUVAWetlnd445,913
CUVAWetlnd446,919
CUVAWetlnd447,923
CUVAWetlnd448,929
CUVAWetlnd449,930
CUVAWetlnd45,317
CUVAWetlnd450,937
CUVAWetlnd451,943
CUVAWetlnd452,944
CUVAWetlnd453,939a
CUVAWetlnd454,945
CUVAWetlnd455,954
CUVAWetlnd456,955
CUVAWetlnd457,961
CUVAWetlnd458,963
CUVAWetlnd459,966
CUVAWetlnd46,1620
CUVAWetlnd460,978
CUVAWetlnd461,982
CUVAWetlnd462,985
CUVAWetlnd463,991
CUVAWetlnd464,992
CUVAWetlnd465,995
CUVAWetlnd466,1011
CUVAWetlnd467,1015
CUVAWetlnd468,1018
CUVAWetlnd469,1032
CUVAWetlnd47,1007
CUVAWetlnd470,1042
CUVAWetlnd471,1046
CUVAWetlnd472,1059
CUVAWetlnd473,1074
CUVAWetlnd474,1076
CUVAWetlnd475,1079
CUVAWetlnd476,1093
CUVAWetlnd477,1094
CUVAWetlnd478,1098
CUVAWetlnd479,1103
CUVAWetlnd48,1017
CUVAWetlnd480,1106
CUVAWetlnd481,1113
CUVAWetlnd482,1118
CUVAWetlnd483,1127
CUVAWetlnd484,1129
CUVAWetlnd485,1132
CUVAWetlnd486,1133
CUVAWetlnd487,1139
CUVAWetlnd488,1140
CUVAWetlnd489,1143
CUVAWetlnd49,1034
CUVAWetlnd490,1147
CUVAWetlnd491,1149
CUVAWetlnd492,1169
CUVAWetlnd493,1172
CUVAWetlnd494,1191
CUVAWetlnd495,1195
CUVAWetlnd496,1208
CUVAWetlnd497,1227
CUVAWetlnd498,1248
CUVAWetlnd499,1252
CUVAWetlnd5,124
CUVAWetlnd50,1036
CUVAWetlnd500,1255
CUVAWetlnd501,1261
CUVAWetlnd502,1264
CUVAWetlnd503,1266
CUVAWetlnd504,1268
CUVAWetlnd505,1276
CUVAWetlnd506,1279
CUVAWetlnd507,1289
CUVAWetlnd508,1291
CUVAWetlnd509,1296
CUVAWetlnd51,1058
CUVAWetlnd510,1297
CUVAWetlnd511,1300
CUVAWetlnd512,1307
CUVAWetlnd513,1308
CUVAWetlnd514,1309
CUVAWetlnd515,1320
CUVAWetlnd516,1322
CUVAWetlnd517,1323
CUVAWetlnd518,1330
CUVAWetlnd519,1333
CUVAWetlnd52,1485
CUVAWetlnd520,1335
CUVAWetlnd521,1349
CUVAWetlnd522,1350
CUVAWetlnd523,1353
CUVAWetlnd524,1357
CUVAWetlnd525,1360
CUVAWetlnd526,1361
CUVAWetlnd527,1364
CUVAWetlnd528,1378
CUVAWetlnd529,1379
CUVAWetlnd53,623
CUVAWetlnd530,1383
CUVAWetlnd531,1384
CUVAWetlnd532,1401
CUVAWetlnd533,1403
CUVAWetlnd534,1404
CUVAWetlnd535,1424
CUVAWetlnd536,1427
CUVAWetlnd537,1433
CUVAWetlnd538,1434
CUVAWetlnd539,1447
CUVAWetlnd54,627
CUVAWetlnd540,1456
CUVAWetlnd541,1458
CUVAWetlnd542,1460
CUVAWetlnd543,1626
CUVAWetlnd544,1627
CUVAWetlnd545,1628
CUVAWetlnd546,386
CUVAWetlnd55,669
CUVAWetlnd56,676
CUVAWetlnd57,867
CUVAWetlnd58,1188
CUVAWetlnd59,1196
CUVAWetlnd6,1221
CUVAWetlnd60,343
CUVAWetlnd61,351
CUVAWetlnd62,363
CUVAWetlnd63,970
CUVAWetlnd64,1079RS2
CUVAWetlnd65,1351
CUVAWetlnd66,1364
CUVAWetlnd67,28
CUVAWetlnd68,29
CUVAWetlnd7,1205
CUVAWetlnd70,32
CUVAWetlnd71,39
CUVAWetlnd72,43
CUVAWetlnd73,56
CUVAWetlnd74,413
CUVAWetlnd75,416
CUVAWetlnd76,422
CUVAWetlnd77,743
CUVAWetlnd78,748
CUVAWetlnd79,939
CUVAWetlnd8,889
CUVAWetlnd80,941
CUVAWetlnd81,192
CUVAWetlnd82,692
CUVAWetlnd83,697
CUVAWetlnd84,885
CUVAWetlnd85,887
CUVAWetlnd86,889
CUVAWetlnd87,1221
CUVAWetlnd88,39
CUVAWetlnd89,43
CUVAWetlnd9,887
CUVAWetlnd90,56
CUVAWetlnd91,1205
CUVAWetlnd92,1068
CUVAWetlnd93,1069
CUVAWetlnd94,1070
CUVAWetlnd95,28
CUVAWetlnd96,29
CUVAWetlnd97,30
CUVAWetlnd98,32
CUVAWetlnd99,305
TAPRWetlnd21,9999
